table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--10--M;10 Proizvodnja živil;indeks;M;7.jan;Rast proizvodnje po panogah predelovalnih dejavnosti;1;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. živil;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--11--M;11 Proizvodnja pijač;indeks;M;7.jan;;1;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. pijač;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--13--M;13 Proizvodnja tekstilij;indeks;M;7.jan;;1;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. tekstilij;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--14--M;14 Proizvodnja oblačil;indeks;M;7.jan;;1;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. oblačil;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--15--M;15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;indeks;M;7.jan;;1;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Usnjarstvo;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--16--M;16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva;indeks;M;7.jan;;2;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Lesna ind.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--17--M;17 Proizvodnja papirja in izdelkov iz papirja;indeks;M;7.jan;;2;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Papirna ind.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--18--M;18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;indeks;M;7.jan;;2;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Tiskarstvo;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--31--M;31 Proizvodnja pohištva;indeks;M;7.jan;;2;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Pohištvena ind.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--32--M;32 Druge raznovrstne predelovalne dejavnosti;indeks;M;7.jan;;2;Rast proizvodnje v nizko tehnološko zahtevnih predelovalnih dejavnosti;Dr. razno. pred. dej.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--22--M;22 Proizvodnja izdelkov iz gume in plastičnih mas;indeks;M;7.jan;;3;Rast proizvodnje v srednje nizko tehnološko zahtevnih predelovalnih dejavnosti;Gumarska ind.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--23--M;23 Proizvodnja nekovinskih mineralnih izdelkov;indeks;M;7.jan;;3;Rast proizvodnje v srednje nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. nekovin. mineral. izd.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--24--M;24 Proizvodnja kovin;indeks;M;7.jan;;3;Rast proizvodnje v srednje nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. kovin;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701110S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701110S--25--M;25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;indeks;M;7.jan;;3;Rast proizvodnje v srednje nizko tehnološko zahtevnih predelovalnih dejavnosti;Proiz. kovin. izd.;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
