table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--A[mig]--M;Desezonirani podatki -- A Proizvodi za vmesno porabo;indeks;M;1,00;Mesečna rast industrijske proizvodnje;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;A Proizvodi za vmesno porabo;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--AE[mig]--M;Desezonirani podatki -- AE Energenti;indeks;M;1,00;;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;AE Energenti;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--AI[mig]--M;Desezonirani podatki -- AI Surovine;indeks;M;1,00;;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;AI Surovine;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--B[mig]--M;Desezonirani podatki -- B Proizvodi za investicije;indeks;M;1,00;;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;B Proizvodi za investicije;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--B[skd]--M;Desezonirani podatki -- B RUDARSTVO;indeks;M;1,00;;1;Mesečna rast industrijske proizvodnje;B RUDARSTVO;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--B+C+D[skd]--M;Desezonirani podatki -- B+C+D Industrija;indeks;M;1,00;;1;Mesečna rast industrijske proizvodnje;B+C+D Industrija;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--C[mig]--M;Desezonirani podatki -- C Proizvodi za široko porabo;indeks;M;1,00;;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;C Proizvodi za široko porabo;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--C[skd]--M;Desezonirani podatki -- C PREDELOVALNE DEJAVNOSTI;indeks;M;1,00;;1;Mesečna rast industrijske proizvodnje;C PREDELOVALNE DEJAVNOSTI;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--CD[mig]--M;Desezonirani podatki -- CD Trajni proizvodi za široko porabo;indeks;M;1,00;;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;CD Trajni proizvodi za široko porabo;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--CN[mig]--M;Desezonirani podatki -- CN Netrajni proizvodi za široko porabo;indeks;M;1,00;;2;Mesečna rast industrijske proizvodnje po namenskih skupinah;CN Netrajni proizvodi za široko porabo;;;;;;;
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--D[skd]--M;Desezonirani podatki -- D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;indeks;M;1,00;;1;Mesečna rast industrijske proizvodnje;D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;;;;;;;
