table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--C[skd]--M;Desezonirani podatki -- C PREDELOVALNE DEJAVNOSTI;indeks;M;6.3;;1;Rast proizvodnje po tehnološki zahtevnosti predelovalnih dejavnosti, mesečno;Predelovalne dejavnosti;;;;;;;rast glede na pretekli mesec, v %
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--NTZ--M;Desezonirani podatki -- NTZ Nizko tehnološko zahtevni proizvodi;indeks;M;6.3;;1;Rast proizvodnje po tehnološki zahtevnosti predelovalnih dejavnosti, mesečno;Nizko teh. zaht. dejavnosti;;;;;;;rast glede na pretekli mesec, v %
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--SNTZ--M;Desezonirani podatki -- SNTZ Srednje nizko tehnološko zahtevni proizvodi;indeks;M;6.3;;1;Rast proizvodnje po tehnološki zahtevnosti predelovalnih dejavnosti, mesečno;Srednje nizko teh. zaht. dejavnosti;;;;;;;rast glede na pretekli mesec, v %
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--SVTZ--M;Desezonirani podatki -- SVTZ Srednje visoko tehnološko zahtevni proizvodi;indeks;M;6.3;;1;Rast proizvodnje po tehnološki zahtevnosti predelovalnih dejavnosti, mesečno;Srednje visoko teh. zaht. dejavnosti;;;;;;;rast glede na pretekli mesec, v %
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--VTZ--M;Desezonirani podatki -- VTZ Visoko tehnološko zahtevni proizvodi;indeks;M;6.3;;1;Rast proizvodnje po tehnološki zahtevnosti predelovalnih dejavnosti, mesečno;Visoko teh. zaht. dejavnosti;;;;;;;rast glede na pretekli mesec, v %
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--sa--C[skd]--M;Desezonirani podatki -- C PREDELOVALNE DEJAVNOSTI;indeks;M;6.3;;2;Proizvodnja predelovalnih dejavnosti po tehnološki zahtevnosti;Predelovalne dejavnosti;;3;r;;;;
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--NTZ--M;Desezonirani podatki -- NTZ Nizko tehnološko zahtevni proizvodi;indeks;M;6.3;;2;Proizvodnja predelovalnih dejavnosti po tehnološki zahtevnosti;Nizko teh. zaht. dejavnosti;;3;r;;;;
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--SNTZ--M;Desezonirani podatki -- SNTZ Srednje nizko tehnološko zahtevni proizvodi;indeks;M;6.3;;2;Proizvodnja predelovalnih dejavnosti po tehnološki zahtevnosti;Srednje nizko teh. zaht. dejavnosti;;3;r;;;;
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--SVTZ--M;Desezonirani podatki -- SVTZ Srednje visoko tehnološko zahtevni proizvodi;indeks;M;6.3;;2;Proizvodnja predelovalnih dejavnosti po tehnološki zahtevnosti;Srednje visoko teh. zaht. dejavnosti;;3;r;;;;
1701106S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po tehnološki zahtevnosti (SKD 2008) v predelovalnih dejavnostih, originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701106S--sa--VTZ--M;Desezonirani podatki -- VTZ Visoko tehnološko zahtevni proizvodi;indeks;M;6.3;;2;Proizvodnja predelovalnih dejavnosti po tehnološki zahtevnosti;Visoko teh. zaht. dejavnosti;;3;r;;;;
