table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--G--M;Realni indeks -- Originalni podatki -- G Trgovina;indeks;M;3;Realni prihodek v trgovini;1;Realni prihodek v trgovini;Trgovina skupaj;;;TRUE;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--45--M;Realni indeks -- Originalni podatki -- 45 Trgovina z motornimi vozili in popravila motornih vozil;indeks;M;3;Realni prihodek v trgovini;1;;Trgovina z motornimi vozili;;;TRUE;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--46--M;Realni indeks -- Originalni podatki -- 46 Posredništvo in trgovina na debelo, razen z motornimi vozili;indeks;M;3;Realni prihodek v trgovini;1;;Trgovina na debelo;;;TRUE;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--47--M;Realni indeks -- Originalni podatki -- 47 Trgovina na drobno, razen z motornimi vozili;indeks;M;3;Realni prihodek v trgovini;1;;Trgovina na drobno;;;TRUE;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--45--M;Realni indeks -- Originalni podatki -- 45 Trgovina z motornimi vozili in popravila motornih vozil;indeks;M;3;Realni prihodek v trgovini ;2;Trgovina z motornimi vozili;Skupaj trgovina z motornimi vozili in njihovimi popravili;;;TRUE;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--45.1+45.3+45.4--M;Realni indeks -- Originalni podatki -- 45.1+45.3+45.4 Motorna vozila, motorna kolesa, rezervni deli, oprema;indeks;M;3;Realni prihodek v trgovini;2;;Motorna vozila, motorna kolesa, rezervni deli, oprema;;;TRUE;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--45.2--M;Realni indeks -- Originalni podatki -- 45.2 Vzdrževanje in popravila motornih vozil;indeks;M;3;Realni prihodek v trgovini;2;;Vzdrževanje in popravila motornih vozil;;;TRUE;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--47--M;Realni indeks -- Originalni podatki -- 47 Trgovina na drobno, razen z motornimi vozili;indeks;M;3;Realni prihodek v trgovini;3;Trgovina na drobno;Skupaj trgovina na drobno;;;TRUE;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--47 brez 47.3--M;Realni indeks -- Originalni podatki -- 47 brez 47.3 Trgovina na drobno, brez motornih goriv;indeks;M;3;Realni prihodek v trgovini;3;;Skupaj trgovina na drobno, brez motornih goriv;;;TRUE;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--1--47.11+47.2--M;Realni indeks -- Originalni podatki -- 47.11+47.2 Trgovina z živili, pijačami in tobačnimi izdelki;indeks;M;3;Realni prihodek v trgovini;3;;Trgovina z živili, pijačami in tobačnimi izdelki;;;TRUE;;;
