table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--B--Q;Število zasedenih delovnih mest - SKUPAJ -- B RUDARSTVO;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--C--Q;Število zasedenih delovnih mest - SKUPAJ -- C PREDELOVALNE DEJAVNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--D--Q;Število zasedenih delovnih mest - SKUPAJ -- D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--E--Q;Število zasedenih delovnih mest - SKUPAJ -- E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--F--Q;Število zasedenih delovnih mest - SKUPAJ -- F GRADBENIŠTVO;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--G--Q;Število zasedenih delovnih mest - SKUPAJ -- G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--H--Q;Število zasedenih delovnih mest - SKUPAJ -- H PROMET IN SKLADIŠČENJE;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--I--Q;Število zasedenih delovnih mest - SKUPAJ -- I GOSTINSTVO;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--J--Q;Število zasedenih delovnih mest - SKUPAJ -- J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--K--Q;Število zasedenih delovnih mest - SKUPAJ -- K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--L--Q;Število zasedenih delovnih mest - SKUPAJ -- L POSLOVANJE Z NEPREMIČNINAMI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--M--Q;Število zasedenih delovnih mest - SKUPAJ -- M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--N--Q;Število zasedenih delovnih mest - SKUPAJ -- N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--O--Q;Število zasedenih delovnih mest - SKUPAJ -- O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--P--Q;Število zasedenih delovnih mest - SKUPAJ -- P IZOBRAŽEVANJE;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--Q--Q;Število zasedenih delovnih mest - SKUPAJ -- Q ZDRAVSTVO IN SOCIALNO VARSTVO;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
0714621S;Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po področjih dejavnosti od B do S [SKD 2008], desezonirani podatki, Slovenija, četrtletno;SURS--0714621S--2--R--Q;Število zasedenih delovnih mest - SKUPAJ -- R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;število;Q;5;Število zasedenih delovnih mest;;;Desezonirani podatki;;;;;;;
